index,ra,dec,mag
696,19.386976,-44.799778,4.27
697,20.77764,16.124296,4.27
698,23.466138,6.378992,4.27
699,4.438461,22.813583,4.28
700,9.618151,81.326382,4.28
701,10.45253,-31.067779,4.28
702,17.455909,-29.867033,4.28
703,20.223288,56.567722,4.28
704,21.370776,-16.834542,4.28
705,22.166457,33.178224,4.28
706,23.11465,-43.520358,4.28
707,3.614551,0.401662,4.29
708,5.326257,-13.176788,4.29
709,10.655112,-55.603268,4.29
710,11.881813,-33.908124,4.29
711,15.734299,77.794493,4.29
712,16.518991,-16.612733,4.29
713,22.107286,-13.869679,4.29
714,22.52509,-32.346073,4.29
715,23.63561,43.268073,4.29
716,0.976766,-29.357449,4.3
717,2.469317,8.460054,4.3
718,3.75347,24.467278,4.3
719,3.809963,-37.620155,4.3
720,4.424828,17.92791,4.3
721,5.998917,45.936736,4.3
722,8.72041,3.398662,4.3
723,10.92689,24.749718,4.3
724,11.615814,-0.823749,4.3
725,11.828077,-63.788478,4.3
726,12.53451,-16.196007,4.3
727,14.338763,-56.386497,4.3
728,20.29413,-12.508212,4.3
729,8.676953,-59.761003,4.31
730,14.448801,-83.667884,4.31
731,15.408181,37.377167,4.31
732,16.123424,-20.868764,4.31
733,20.638967,-1.105121,4.31
734,3.608159,48.192634,4.32
735,4.674031,-19.671493,4.32
736,5.536875,18.594234,4.32
737,6.256304,29.498076,4.32
738,8.772927,-13.54772,4.32
739,9.528675,22.967971,4.32
740,12.050447,-63.31293,4.32
741,13.166469,17.529431,4.32
742,13.863779,-32.994089,4.32
743,14.860641,-43.575359,4.32
744,17.347128,-12.846875,4.32
745,7.469387,8.92553,4.33
746,12.885258,-48.943315,4.33
747,14.436336,-45.379276,4.33
748,17.255836,-26.602829,4.33
749,18.143,-63.668553,4.33
750,18.331031,36.064547,4.33
751,11.303118,31.528783,4.33
752,0.61468,33.719344,4.34
753,0.642602,29.311751,4.34
754,1.185017,55.149901,4.34
755,5.746223,-65.735526,4.34
756,6.530935,-23.418422,4.34
757,8.344115,-77.484477,4.34
758,9.270024,-57.541473,4.34
759,9.613772,-49.355026,4.34
760,14.028748,-45.603421,4.34
761,15.634232,-42.567348,4.34
762,17.441911,4.14036,4.34
763,18.746209,37.605115,4.34
764,18.783686,18.181519,4.34
765,21.74186,17.350017,4.34
766,22.492173,47.706887,4.34
767,3.193822,19.726677,4.35
768,4.843534,8.900176,4.35
769,6.58294,-52.975607,4.35
770,6.954612,58.422759,4.35
771,8.132173,-68.617062,4.35
772,8.807214,5.837812,4.35
773,12.448966,28.268423,4.35
774,15.297178,-30.148673,4.35
775,17.536918,86.58646,4.35
776,18.387117,-61.493901,4.35
777,19.272804,38.133731,4.35
778,21.749113,-33.025781,4.35
779,0.525725,-62.958218,4.36
780,0.722567,-57.46306,4.36
781,2.216665,8.846717,4.36
782,3.509579,47.995216,4.36
783,4.078253,22.081926,4.36
784,4.881575,-5.452695,4.36
785,5.220522,-12.941291,4.36
786,5.958947,-35.28328,4.36
787,6.935618,-17.054242,4.36
788,8.143236,-2.983786,4.36
789,14.10077,-41.179633,4.36
790,19.612022,-1.286601,4.36
791,0.032672,-6.014072,4.37
792,6.275871,-35.140519,4.37
793,7.311802,-24.954375,4.37
794,11.002572,-42.225859,4.37
795,18.14597,20.814557,4.37
796,19.995605,-35.276305,4.37
797,13.165831,-5.53901,4.38
798,20.148145,77.711419,4.38
799,23.434108,-20.642014,4.38
800,23.549512,-37.818268,4.38
801,1.894102,-46.302669,4.39
802,3.825357,65.525972,4.39
803,5.580344,9.489579,4.39
804,5.906386,20.276174,4.39
805,6.396135,4.592865,4.39
806,8.03776,2.334571,4.39
807,10.131742,9.997508,4.39
808,15.048344,2.091303,4.39
809,16.900131,10.165359,4.39
810,17.350101,-21.112933,4.39
811,19.668275,18.01389,4.39
812,19.68415,17.476041,4.39
813,21.331096,-53.449427,4.39
814,0.953445,23.417648,4.4
815,7.801436,-25.937169,4.4
816,8.150455,-19.245014,4.4
817,18.949177,-67.233495,4.4
818,21.965293,-54.992575,4.4
819,6.830921,-53.622449,4.41
820,7.185659,30.245163,4.41
821,14.383956,-39.511819,4.41
822,17.512308,26.110645,4.41
823,17.975041,30.189277,4.41
824,21.298632,34.896898,4.41
825,23.131623,75.387496,4.41
826,23.298393,-9.182513,4.41
827,23.313733,-32.532027,4.41
828,6.126201,14.768472,4.42
829,6.631506,-18.237478,4.42
830,7.225637,-44.639739,4.42
831,7.237559,-26.352507,4.42
832,8.234143,-40.34789,4.42
833,11.038827,20.179842,4.42
834,14.838147,-27.960371,4.42
835,15.77406,7.353073,4.42
836,18.029222,1.305076,4.42
837,22.392675,52.229046,4.42
838,23.422993,23.404101,4.42
839,3.769037,-12.101589,4.43
840,4.254537,-7.652871,4.43
841,4.95478,53.752101,4.43
842,19.229302,39.145968,4.43
